test_instance_id,cluster,original_prediction,target_prediction,strategy,selected_feature,source_exemplar_or_change,target_probability_before,target_probability_after,target_probability_gain,boundary_progress,capped_boundary_progress,crossed_boundary,remaining_boundary_gap,boundary_overshoot,normalized_edit_size
180200,1,Diabetes,No Diabetes,copy nearest training: full two-feature diagnostic,glucose + bmi,180101,0.46791172219954563,0.5972416443604976,0.12932992216095202,4.030441364451186,1.0,1,0.0,0.09724164436049765,0.3181096572132915
180200,1,Diabetes,No Diabetes,copy nearest training: largest editable delta,bmi,180101,0.46791172219954563,0.516447766596338,0.04853604439679232,1.5125786649760635,1.0,1,0.0,0.016447766596337954,0.16507445911772956
180200,1,Diabetes,No Diabetes,copy nearest training: 1.25x delta,bmi,180101,0.46791172219954563,0.5285690875657958,0.06065736536625016,1.8903278556567238,1.0,1,0.0,0.028569087565795792,0.20634307389716194
180200,1,Diabetes,No Diabetes,copy nearest training: 1.50x delta,bmi,180101,0.46791172219954563,0.5406568114939895,0.07274508929444384,2.2670300271899846,1.0,1,0.0,0.040656811493989475,0.24761168867659436
180200,1,Diabetes,No Diabetes,copy nearest training: best component oracle,bmi,180101,0.46791172219954563,0.516447766596338,0.04853604439679232,1.5125786649760635,1.0,1,0.0,0.016447766596337954,0.16507445911772956
180200,1,Diabetes,No Diabetes,nearest displayed target exemplar,insulin,180105,0.46791172219954563,0.4769563497934355,0.009044627593889853,0.2818670310116108,0.2818670310116108,0,0.023043650206564514,0.0,0.21034397426379564
180200,1,Diabetes,No Diabetes,nearest real target exemplar oracle,blood_pressure,41,0.46791172219954563,0.46791172219954563,0.0,0.0,0.0,0,0.03208827780045437,0.0,0.0
180200,1,Diabetes,No Diabetes,optimized one-feature recourse,bmi,optimized,0.46791172219954563,0.5007293659539547,0.03281764375440904,1.0227299812875699,1.0,1,0.0,0.0007293659539546749,0.11165004214666968
180201,1,Diabetes,No Diabetes,copy nearest training: full two-feature diagnostic,glucose + bmi,180101,0.4637410612381655,0.5666029048980139,0.1028618436598484,2.836868567375692,1.0,1,0.0,0.0666029048980139,0.31810965721329154
180201,1,Diabetes,No Diabetes,copy nearest training: largest editable delta,bmi,180101,0.4637410612381655,0.5189214616527459,0.05518040041458039,1.521842676561242,1.0,1,0.0,0.018921461652745886,0.16507445911772956
180201,1,Diabetes,No Diabetes,copy nearest training: 1.25x delta,bmi,180101,0.4637410612381655,0.5326970738032545,0.06895601256508899,1.9017658795262598,1.0,1,0.0,0.032697073803254484,0.2063430738971621
180201,1,Diabetes,No Diabetes,copy nearest training: 1.50x delta,bmi,180101,0.4637410612381655,0.5464230137905188,0.08268195255235333,2.280319153725008,1.0,1,0.0,0.04642301379051883,0.2476116886765944
180201,1,Diabetes,No Diabetes,copy nearest training: best component oracle,bmi,180101,0.4637410612381655,0.5189214616527459,0.05518040041458039,1.521842676561242,1.0,1,0.0,0.018921461652745886,0.16507445911772956
180201,1,Diabetes,No Diabetes,nearest displayed target exemplar,bmi,180103,0.4637410612381655,0.554814308157636,0.0910732469194705,2.511746069505281,1.0,1,0.0,0.054814308157635994,0.27395335768474244
180201,1,Diabetes,No Diabetes,nearest real target exemplar oracle,blood_pressure,118,0.4637410612381655,0.4684303334074325,0.004689272169267011,0.1293273418747394,0.1293273418747394,0,0.03156966659256749,0.0,0.17391304347826086
180201,1,Diabetes,No Diabetes,optimized one-feature recourse,bmi,optimized,0.4637410612381655,0.5004366672268564,0.03669560598869093,1.012043022817757,1.0,1,0.0,0.00043666722685642423,0.10982228153975748
180202,1,Diabetes,No Diabetes,copy nearest training: full two-feature diagnostic,glucose + bmi,180101,0.49260734035122045,0.6704350453094241,0.17782770495820366,24.054631676106048,1.0,1,0.0,0.1704350453094241,0.31810965721329143
180202,1,Diabetes,No Diabetes,copy nearest training: largest editable delta,bmi,180101,0.49260734035122045,0.5410999992662783,0.04849265891505783,6.55956870989772,1.0,1,0.0,0.041099999266278275,0.16507445911772947
180202,1,Diabetes,No Diabetes,copy nearest training: 1.25x delta,bmi,180101,0.49260734035122045,0.5551705085107606,0.0625631681595401,8.462876844312532,1.0,1,0.0,0.05517050851076055,0.2063430738971619
180202,1,Diabetes,No Diabetes,copy nearest training: 1.50x delta,bmi,180101,0.49260734035122045,0.5814398109819107,0.08883247063069022,12.016307371238913,1.0,1,0.0,0.08143981098191067,0.24761168867659428
180202,1,Diabetes,No Diabetes,copy nearest training: best component oracle,bmi,180101,0.49260734035122045,0.5410999992662783,0.04849265891505783,6.55956870989772,1.0,1,0.0,0.041099999266278275,0.16507445911772947
180202,1,Diabetes,No Diabetes,nearest displayed target exemplar,insulin,180105,0.49260734035122045,0.501003926428429,0.008396586077208501,1.1358004393715981,1.0,1,0.0,0.0010039264284289473,0.13816712034974815
180202,1,Diabetes,No Diabetes,nearest real target exemplar oracle,blood_pressure,255,0.49260734035122045,0.49260734035122045,0.0,0.0,0.0,0,0.007392659648779554,0.0,0.0
180202,1,Diabetes,No Diabetes,optimized one-feature recourse,bmi,optimized,0.49260734035122045,0.5220511973662216,0.029443857015001185,3.9828503426181725,1.0,1,0.0,0.02205119736622163,0.10008780556336022
180203,1,Diabetes,No Diabetes,copy nearest training: full two-feature diagnostic,glucose + bmi,180101,0.41176751695544356,0.6517234986181842,0.23995598166274068,2.7195877683909853,1.0,1,0.0,0.15172349861818424,0.3181096572132916
180203,1,Diabetes,No Diabetes,copy nearest training: largest editable delta,bmi,180101,0.41176751695544356,0.5108206987379179,0.09905318178247435,1.1226384928150959,1.0,1,0.0,0.010820698737917911,0.1650744591177296
180203,1,Diabetes,No Diabetes,copy nearest training: 1.25x delta,bmi,180101,0.41176751695544356,0.5396572407522157,0.1278897237967721,1.4494630478912078,1.0,1,0.0,0.03965724075221566,0.206343073897162
180203,1,Diabetes,No Diabetes,copy nearest training: 1.50x delta,bmi,180101,0.41176751695544356,0.56823071994789,0.15646320299244643,1.7733061293699988,1.0,1,0.0,0.06823071994788998,0.2476116886765944
180203,1,Diabetes,No Diabetes,copy nearest training: best component oracle,bmi,180101,0.41176751695544356,0.5108206987379179,0.09905318178247435,1.1226384928150959,1.0,1,0.0,0.010820698737917911,0.1650744591177296
180203,1,Diabetes,No Diabetes,nearest displayed target exemplar,age,180105,0.41176751695544356,0.5053959818131546,0.09362846485771104,1.0611564089206202,1.0,1,0.0,0.005395981813154593,0.21621621621621623
180203,1,Diabetes,No Diabetes,nearest real target exemplar oracle,insulin,255,0.41176751695544356,0.398740262231952,-0.013027254723491533,-0.14764692405758217,0.0,0,0.10125973776804797,0.0,0.19178421182875488
180203,1,Diabetes,No Diabetes,optimized one-feature recourse,bmi,optimized,0.41176751695544356,0.5011584971783988,0.08939098022295522,1.0131300529966243,1.0,1,0.0,0.0011584971783987763,0.15128336611407656
180204,1,Diabetes,No Diabetes,copy nearest training: full two-feature diagnostic,glucose + bmi,180100,0.48353969078078357,0.6924552721479583,0.20891558136717475,12.692081210921497,1.0,1,0.0,0.19245527214795832,0.3075729896100321
180204,1,Diabetes,No Diabetes,copy nearest training: largest editable delta,bmi,180100,0.48353969078078357,0.5611910049984915,0.07765131421770793,4.717488182242327,1.0,1,0.0,0.061191004998491505,0.15453779151447025
180204,1,Diabetes,No Diabetes,copy nearest training: 1.25x delta,bmi,180100,0.48353969078078357,0.5870555281607756,0.10351583737999198,6.28881486984117,1.0,1,0.0,0.08705552816077555,0.19317223939308786
180204,1,Diabetes,No Diabetes,copy nearest training: 1.50x delta,bmi,180100,0.48353969078078357,0.6144201891373119,0.13088049835652832,7.9512782301643,1.0,1,0.0,0.11442018913731189,0.23180668727170545
180204,1,Diabetes,No Diabetes,copy nearest training: best component oracle,bmi,180100,0.48353969078078357,0.5611910049984915,0.07765131421770793,4.717488182242327,1.0,1,0.0,0.061191004998491505,0.15453779151447025
180204,1,Diabetes,No Diabetes,nearest displayed target exemplar,age,180105,0.48353969078078357,0.5480464848636274,0.06450679408284382,3.9189296643064266,1.0,1,0.0,0.04804648486362739,0.1351351351351351
180204,1,Diabetes,No Diabetes,nearest real target exemplar oracle,insulin,255,0.48353969078078357,0.48411994919915374,0.000580258418370172,0.03525197556390708,0.03525197556390708,0,0.015880050800846257,0.0,0.13610492452363251
180204,1,Diabetes,No Diabetes,optimized one-feature recourse,bmi,optimized,0.48353969078078357,0.5241994464066079,0.0406597556258243,2.4701696112948146,1.0,1,0.0,0.024199446406607872,0.10008780556336022
180205,2,Diabetes,No Diabetes,copy nearest training: full two-feature diagnostic,blood_pressure + insulin,180108,0.37848400752310635,0.3735936454020905,-0.0048903621210158454,-0.040244596792029255,0.0,0,0.1264063545979095,0.0,0.3068386000021516
180205,2,Diabetes,No Diabetes,copy nearest training: largest editable delta,insulin,180108,0.37848400752310635,0.3866789402440745,0.008194932720968162,0.06743912923664294,0.06743912923664294,0,0.11332105975592549,0.0,0.15466468695867328
