participant,domain,xai,phase,original label,target label,case,instance id,response time (seconds),attribute values before and after,explanation,sparsity,proximity,counterfactual label,successful counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1),move towards target (0/1),x_1_change,x_2_change,x_3_change,x_4_change,x_5_change,x_1_changed,x_2_changed,x_3_changed,x_4_changed,x_5_changed,delta confidence/change amount,close to boundary old,distance to boundary,confidence of counterfactual - 50%,reasoning strategy,participant training accuracy,CRT-2 score (0-4),successful counterfactual (continuous),log(time),actionability (0/1),plausibility,boundary distance original,boundary distance new,boundary distance change (new - original),best forward mental model,forward mental model fit conclusion,CRT binarized,attribute selection method,attribute selection ranking score,change amount method,change amount normalized MAE,best-supported attribute selection method,strategy: xai,plausibility (subset)
R_1KMTwE2iCLDGMxz,diabetes,none,training,No Diabetes,,1,160105,23.686,"""Glucose"" - 116(0.353171229383)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 87(0.105171987132)
""BMI"" - 22.1(0.0597077830851)
""Age"" - 37(0.432432432432)",,,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.833333333333,4,,,,,,,,,,1,,,,,,,
R_1KMTwE2iCLDGMxz,diabetes,none,training,No Diabetes,,2,160103,13.835,"""Glucose"" - 99(0.208637986737)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 64(0.0577414831312)
""BMI"" - 19.3(0)
""Age"" - 30(0.243243243243)",,,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.833333333333,4,,,,,,,,,,1,,,,,,,
R_1KMTwE2iCLDGMxz,diabetes,none,training,No Diabetes,,3,160104,13.956,"""Glucose"" - 95(0.174630164938)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 73(0.0763012455663)
""BMI"" - 25.9(0.193172239393)
""Age"" - 36(0.405405405405)",,,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.833333333333,4,,,,,,,,,,1,,,,,,,
R_1KMTwE2iCLDGMxz,diabetes,none,training,Diabetes,,4,160101,21.946,"""Glucose"" - 149(0.633735759225)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 127(0.187659820177)
""BMI"" - 29.3(0.312587805563)
""Age"" - 42(0.567567567568)",,,,,,,,,,No Diabetes,0,,,,,,,,,,,,,,,,,0.833333333333,4,,,,,,,,,,1,,,,,,,
R_1KMTwE2iCLDGMxz,diabetes,none,training,Diabetes,,5,160100,9.812,"""Glucose"" - 186(0.948308110865)
""Blood Pressure"" - 90(0.913043478261)
""Insulin"" - 225(0.389755011136)
""BMI"" - 34.5(0.495223377353)
""Age"" - 37(0.432432432432)",,,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.833333333333,4,,,,,,,,,,1,,,,,,,
R_1KMTwE2iCLDGMxz,diabetes,none,training,Diabetes,,6,160102,7.065,"""Glucose"" - 187(0.956810066315)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 304(0.552668481399)
""BMI"" - 37.7(0.607614498455)
""Age"" - 41(0.540540540541)",,,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.833333333333,4,,,,,,,,,,1,,,,,,,
R_1KMTwE2iCLDGMxz,diabetes,none,training,No Diabetes,,7,160110,12.742,"""Glucose"" - 180(0.897296378167)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 70(0.0701146580879)
""BMI"" - 34(0.477662264681)
""Age"" - 26(0.135135135135)",,,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.833333333333,4,,,,,,,,,,1,,,,,,,
R_1KMTwE2iCLDGMxz,diabetes,none,training,No Diabetes,,8,160109,9.96,"""Glucose"" - 191(0.990817888114)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 130(0.193846407655)
""BMI"" - 30.9(0.368783366114)
""Age"" - 34(0.351351351351)",,,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.833333333333,4,,,,,,,,,,1,,,,,,,
R_1KMTwE2iCLDGMxz,diabetes,none,training,No Diabetes,,9,160111,7.808,"""Glucose"" - 103(0.242645808536)
""Blood Pressure"" - 30(0)
""Insulin"" - 83(0.0969232038274)
""BMI"" - 43.3(0.804298960382)
""Age"" - 33(0.324324324324)",,,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.833333333333,4,,,,,,,,,,1,,,,,,,
R_1KMTwE2iCLDGMxz,diabetes,none,training,Diabetes,,10,160106,5.828,"""Glucose"" - 120(0.387179051182)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 200(0.338200115483)
""BMI"" - 38.9(0.649761168868)
""Age"" - 41(0.540540540541)",,,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.833333333333,4,,,,,,,,,,1,,,,,,,
