_row,x_1 Glucose SHAP change Δφ,x_2 Blood Pressure SHAP change Δφ,x_3 Insulin SHAP change Δφ,x_4 BMI SHAP change Δφ,x_5 Age SHAP change Δφ,x_1 Glucose target-helpful SHAP change,x_2 Blood Pressure target-helpful SHAP change,x_3 Insulin target-helpful SHAP change,x_4 BMI target-helpful SHAP change,x_5 Age target-helpful SHAP change,x_1_train_change,x_2_train_change,x_3_train_change,x_4_train_change,x_5_train_change
1,,,,,,,,,,,-0.09998299608910037,,,-0.11941556617027246,
2,,,,,,,,,,,0.13603128719605503,,,0.1756111267209888,
3,,,,,,,,,,,-0.212548886243836,,,-0.1510255689800504,
4,,,,,,,,,,,-0.31457235164087727,,,-0.10009834223096367,
5,,,,,,,,,,,0.28056452984186353,,,0.10009834223096367,
6,,,,,,,,,,,0.10202346539704128,,,0.29502669289126116,
7,,,,,,,,,,,,0.15217391304347827,0.09999587560834755,,
8,,,,,,,,,,,,0.09999999999999988,0.09999587560834758,,
9,,,,,,,,,,,,-0.09999999999999988,-0.09999587560834758,,
10,,,,,,,,,,,,-0.09999999999999988,-0.09999587560834758,,
11,,,,,,,,,,,,-0.09999999999999988,-0.09999587560834758,,
12,,,,,,,,,,,,1.3478260869565217,0.14847809948032636,,
13,,,,0.3505066801652213,-0.3510699302759258,,,,0.3505066801652213,-0.3510699302759258,,,,,
14,0.414393376518283,,,0.0,,0.414393376518283,,,0.0,,,,,,
15,0.4333683941514627,,,0.2555027034974014,-0.3675035185178458,0.4333683941514627,,,0.2555027034974014,-0.3675035185178458,,,,,
16,,,,,-0.0069229864430284,,,,,-0.0069229864430284,,,,,
17,,,,0.0,,,,,0.0,,,,,,
18,0.0,,,,0.0311830619923884,0.0,,,,0.0311830619923884,,,,,
19,,0.1775843434609858,,,,,0.1775843434609858,,,,,,,,
20,,0.0208599197379167,,,0.3863464515813932,,0.0208599197379167,,,0.3863464515813932,,,,,
21,0.4417255366023147,,,,,0.4417255366023147,,,,,,,,,
22,0.4592863874807914,,,,0.2595645067806992,0.4592863874807914,,,,0.2595645067806992,,,,,
23,,,,-0.445821072838069,,,,,0.445821072838069,,,,,,
24,-0.1851035135594714,,-0.3903027568919877,,,0.1851035135594714,,0.3903027568919877,,,,,,,
25,,,0.0,,,,,-0.0,,,,,,,
26,,,,,-0.0340443153169153,,,,,0.0340443153169153,,,,,
27,-0.2427098480038931,,-0.0367782668813332,,,0.2427098480038931,,0.0367782668813332,,,,,,,
28,,,-0.4901278366192142,,0.0,,,0.4901278366192142,,-0.0,,,,,
29,,-0.1594916882353704,,,,,0.1594916882353704,,,,,,,,
30,,,-0.2738944475897002,,-0.3490558629108643,,,0.2738944475897002,,0.3490558629108643,,,,,
31,-0.1005090465004953,,0.0,0.1832650733557656,-0.082767285720317,0.1005090465004953,,-0.0,-0.1832650733557656,0.082767285720317,,,,,
32,-0.1172723354309301,,-0.3052262342567432,-0.1622159014581717,-0.4151630810493998,0.1172723354309301,,0.3052262342567432,0.1622159014581717,0.4151630810493998,,,,,
33,,,,,,,,,,,,1.3478260869565217,0.14847809948032636,,
34,,,,,,,,,,,,-0.09999999999999988,-0.09999587560834758,,
35,,,,,,,,,,,,-0.09999999999999988,-0.09999587560834758,,
