xai,participant,mean_boundary,mean_orig_boundary,mean_improvement,success_rate,mean_proximity,mean_sparsity,move_toward_target_rate,mean_helpful_shap,mean_n_features_changed,Glucose_changed,Glucose_abs_change,Glucose_signed_change,Blood Pressure_changed,Blood Pressure_abs_change,Blood Pressure_signed_change,Insulin_changed,Insulin_abs_change,Insulin_signed_change,BMI_changed,BMI_abs_change,BMI_signed_change,Age_changed,Age_abs_change,Age_signed_change,within_condition_boundary_rank,PostTask_MentalModel,PostTask_StrategyExample,Q70_3_TEXT,Q73_6_TEXT,Q74_7_TEXT,all_comments,strategy_cluster
attribution,R_1jEfVgE4WoI6fVO,0.080842156979823,0.12287754559834001,0.042035388618517,0.45,0.2716359899235,0.8,0.75,0.4534711459271771,1.0,0.65,0.17726577112735,0.017429008672049995,0.05,0.0195652173913,-0.0195652173913,0.0,0.0,0.0,0.1,0.024805001404900003,0.002072773250900001,0.2,0.049999999999949994,-0.049999999999949994,1.0,"Glucose seemed most important. Higher glucose led more toward diabetes, while lower glucose led toward no diabetes. Age and BMI also seemed to affect most cases.",I changed one value at a time and started with small changes. I stopped once the AI switched outcomes.,,,,"PostTask_MentalModel: Glucose seemed most important. Higher glucose led more toward diabetes, while lower glucose led toward no diabetes. Age and BMI also seemed to affect most cases. | PostTask_StrategyExample: I changed one value at a time and started with small changes. I stopped once the AI switched outcomes.",2
attribution,R_1vbS8BCLvmrwGHr,0.0833059017394895,0.12287754559834001,0.0395716438588505,0.55,0.43762151310025,0.6599999999999999,0.95,0.5639204219864078,1.7,0.25,0.09692229212715,0.03485801734395,0.6,0.13260869565209998,-0.045652173913,0.15,0.0425843438093,0.0425843438093,0.7,0.1655061815117,-0.028145967968500003,0.0,0.0,0.0,2.0,"To be honest, I do not know what rule the AI used to decide between the two outcomes. My strategy was to focus on the things that triggered the AI in the trial, which were glucose, insulin, blood pressure, and BMI. It appeared that higher values in those categories led to a diabetes diagnosis, while lower values did not. ","I tried to focus on the main things mentioned during the trial: insulin, glucose, blood pressure, and BMI. To attempt to get the diabetes diagnosis, I moved their scales slightly higher. To attempt to remove the diagnosis, I moved them lower. ",,,,"PostTask_MentalModel: To be honest, I do not know what rule the AI used to decide between the two outcomes. My strategy was to focus on the things that triggered the AI in the trial, which were glucose, insulin, blood pressure, and BMI. It appeared that higher values in those categories led to a diabetes diagnosis, while lower values did not. | PostTask_StrategyExample: I tried to focus on the main things mentioned during the trial: insulin, glucose, blood pressure, and BMI. To attempt to get the diabetes diagnosis, I moved their scales slightly higher. To attempt to remove the diagnosis, I moved them lower.",1
attribution,R_771uyV9h8uinmh3,0.09431221152441,0.12287754559834001,0.02856533407393,0.7,0.32817601614049996,0.8,0.9,0.6483176643353902,1.0,0.3,0.09522190103725,0.027206257439250002,0.5,0.1652173913044,-0.0673913043478,0.0,0.0,0.0,0.2,0.06773672379885,0.03600449564485,0.0,0.0,0.0,3.0,"The AI appeared to be completely random in deciding. One case would show high blood pressure as the biggest contributing factor and give a diabetes warning and the next would show a profile with high blood pressure and high glucose, explain that those were both contributing to a diabetes warning with red bars on the graph and still give a no diabetes warning. If that AI model was used in real life scenarios, I feel like people would die. ","I mainly focused on blood pressure but would focus on other attributes if they were particularly high or low but again, the AI seemed so random in its decision making that I really didn't know how to decide. Some of the no diabetes warning profiles had ""worse"" attributes than the diabetes profiles did. ",,,,"PostTask_MentalModel: The AI appeared to be completely random in deciding. One case would show high blood pressure as the biggest contributing factor and give a diabetes warning and the next would show a profile with high blood pressure and high glucose, explain that those were both contributing to a diabetes warning with red bars on the graph and still give a no diabetes warning. If that AI model was used in real life scenarios, I feel like people would die. | PostTask_StrategyExample: I mainly focused on blood pressure but would focus on other attributes if they were particularly high or low but again, the AI seemed so random in its decision making that I really didn't know how to decide. Some of the no diabetes warning profiles had ""worse"" attributes than the diabetes profiles did.",2
attribution,R_5FwCR03V97gle4L,0.1043004130152285,0.12287754559834001,0.0185771325831115,0.55,0.50071722419605,0.6,0.95,0.5574279812038313,2.0,0.85,0.24570651249790001,0.0467607549736,0.45,0.104347826086955,-0.09565217391304501,0.1,0.004124391652233,0.0032995133217870003,0.6,0.14653849395907498,0.091488479910175,0.0,0.0,0.0,4.0,"I think it was a specific pairing that mattered. My top 3 attributes that mattered were BMI, Blood Pressure, and Insulin. Higher values of BMI and Blood Pressure led to higher chances of diabetes. More insulin led to less likelihood of diabetes.","Because of the trials, I felt BMI and Blood Pressure were the biggest factors in having diabetes. tHe higher it is, the higher the chance of diabetes. More insulin led to less likelihood of diabetes.",,,,"PostTask_MentalModel: I think it was a specific pairing that mattered. My top 3 attributes that mattered were BMI, Blood Pressure, and Insulin. Higher values of BMI and Blood Pressure led to higher chances of diabetes. More insulin led to less likelihood of diabetes. | PostTask_StrategyExample: Because of the trials, I felt BMI and Blood Pressure were the biggest factors in having diabetes. tHe higher it is, the higher the chance of diabetes. More insulin led to less likelihood of diabetes.",1
attribution,R_1TZbMIIo6RtFnsb,0.10487163598795901,0.12287754559834001,0.018005909610381003,0.55,0.6077188723665501,0.5900000000000001,0.9,0.5597342614866633,2.05,0.45,0.16238734909025002,-0.06291447032815,0.35,0.09456521739135,-0.02065217391305,0.65,0.16373834859364,0.11238967252326,0.6,0.1870279572914,0.015595813430799996,0.0,0.0,0.0,5.0,"BMI was a factor in that a lower BMI was indication of no diabetes and higher was a sign of possible diabetes. blood pressure, glucose and insulin were all factors with higher numbers indicating diabetes.","The BMI I looked at first. A low BMI indicated no diabetes with a higher over 30 possibly indicating diabetes with other higher numbers within the blood pressure, insulin, and glucose.",,,,"PostTask_MentalModel: BMI was a factor in that a lower BMI was indication of no diabetes and higher was a sign of possible diabetes. blood pressure, glucose and insulin were all factors with higher numbers indicating diabetes. | PostTask_StrategyExample: The BMI I looked at first. A low BMI indicated no diabetes with a higher over 30 possibly indicating diabetes with other higher numbers within the blood pressure, insulin, and glucose.",1
attribution,R_5F38MGbZJklp6TP,0.10993345115144151,0.12287754559834001,0.012944094446898502,0.35,0.221136545406425,0.7,0.8,0.4191215167227658,1.5,0.3,0.05398741710599,-0.05398741710599,0.7,0.10217391304345999,-0.10217391304345999,0.1,0.015054029530649998,0.015054029530649998,0.4,0.049921185726305,-0.049921185726305,0.0,0.0,0.0,6.0,"Lower values with blood pressure, bmi were huge factors.",pretty much were the same except for a handful i changed 2 attributes.,,,,"PostTask_MentalModel: Lower values with blood pressure, bmi were huge factors. | PostTask_StrategyExample: pretty much were the same except for a handful i changed 2 attributes.",2
attribution,R_1QfQiW4jahDRgtB,0.11398235463229349,0.12287754559834001,0.008895190966046502,0.45,0.27719120219055,0.8,0.7,0.43070512658184984,1.0,0.2,0.039534092841349996,-0.039534092841349996,0.15,0.04239130434785,-0.04239130434785,0.0,0.0,0.0,0.65,0.19526580500135,-0.19526580500135,0.0,0.0,0.0,7.0,"I thought the AI mainly relied on glucose and BMI, with insulin, age, and blood pressure having smaller effects. I assumed higher glucose and BMI values pushed the prediction toward Diabetes, while lower values pushed it toward No Diabetes, although I did not identify exact thresholds.","For each profile, I changed the attributes shown as most influential, moving them in the direction opposite the original prediction. I chose values close to the originals and adjusted them only enough to cross what appeared to be the likely decision boundary. My changes varied depending on which attributes the explanation identified as most important for that profile.",,,,"PostTask_MentalModel: I thought the AI mainly relied on glucose and BMI, with insulin, age, and blood pressure having smaller effects. I assumed higher glucose and BMI values pushed the prediction toward Diabetes, while lower values pushed it toward No Diabetes, although I did not identify exact thresholds. | PostTask_StrategyExample: For each profile, I changed the attributes shown as most influential, moving them in the direction opposite the original prediction. I chose values close to the originals and adjusted them only enough to cross what appeared to be the likely decision boundary. My changes varied depending on which attributes the explanation identified as most important for that profile.",2
attribution,R_7Xi0pALCUOc3Fh1,0.1140676607002935,0.12287754559834001,0.008809884898046499,0.05,0.08767133457198249,0.8,0.75,0.07156845866664584,1.0,0.4,0.0289066485291675,-0.0263560618942425,0.45,0.03695652173918,-0.03695652173918,0.0,0.0,0.0,0.1,0.013700056195534998,-0.0037638381567649997,0.05,0.0081081081081,-0.0081081081081,8.0,i felt glucose level really mattered,it didnt really vary,,,,PostTask_MentalModel: i felt glucose level really mattered | PostTask_StrategyExample: it didnt really vary,2
attribution,R_1myAGA2v3gStUIS,0.11730911282339,0.12287754559834001,0.005568432774949998,0.55,0.7316334973467,0.61,0.85,0.5571407171310587,1.95,0.65,0.24740690358775003,-0.014453324264549993,0.55,0.19130434782615,-0.15000000000005,0.5,0.20178586158540002,0.20178586158540002,0.05,0.020866114077,-0.020866114077,0.2,0.07027027027024998,-0.03243243243245,9.0,"I felt that the glucose and insulin were two of the biggest factors that could flip the outcome, with blood pressure also being significant. Lower values on each of these tended to swing the decision more No Diabetes, while higher numbers often resulted in a Diabetes diagnosis.","I usually went with changing two attributes, simply because the earlier examples did. Glucose and insulin were big for changing, in my opinion (meaning you could enact a change with less bar change). What values to use were largely guess work. If an attribute was higher or lower than others, that usually was a good choice for changing.",,,self employed,"PostTask_MentalModel: I felt that the glucose and insulin were two of the biggest factors that could flip the outcome, with blood pressure also being significant. Lower values on each of these tended to swing the decision more No Diabetes, while higher numbers often resulted in a Diabetes diagnosis. | PostTask_StrategyExample: I usually went with changing two attributes, simply because the earlier examples did. Glucose and insulin were big for changing, in my opinion (meaning you could enact a change with less bar change). What values to use were largely guess work. If an attribute was higher or lower than others, that usually was a good choice for changing. | Q74_7_TEXT: self employed",1
attribution,R_3Qv0QTQ49yAIRot,0.1174258962841865,0.12287754559834001,0.0054516493141535,0.55,0.2908554693741,0.8,0.8,0.4258352257586857,1.0,0.05,0.0106274443122,-0.0106274443122,0.75,0.20217391304344998,-0.026086956521750006,0.2,0.07805411201845,0.07805411201845,0.0,0.0,0.0,0.0,0.0,0.0,10.0,"Blood pressure always seemed to matter more than other categories, as the higher blood pressure led to diabetes.",Mostly I focused on blood pressure and sometimes raising insulin to get diabetes.,,,,"PostTask_MentalModel: Blood pressure always seemed to matter more than other categories, as the higher blood pressure led to diabetes. | PostTask_StrategyExample: Mostly I focused on blood pressure and sometimes raising insulin to get diabetes.",2
